date,dates,rank,song,artist
04/04/2009,01/04/2009,15,Turnin Me On,Keri Hilson Featuring Lil Wayne
02/05/2009,01/05/2009,1,Boom Boom Pow,The Black Eyed Peas
02/05/2009,01/05/2009,2,Poker Face,Lady Gaga
02/05/2009,01/05/2009,3,Right Round,Flo Rida
02/05/2009,01/05/2009,4,The Climb,Miley Cyrus
02/05/2009,01/05/2009,5,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
02/05/2009,01/05/2009,6,Day 'N' Nite,Kid Cudi
02/05/2009,01/05/2009,7,Blame It,Jamie Foxx Featuring T-Pain
02/05/2009,01/05/2009,8,Dead And Gone,T.I. Featuring Justin Timberlake
02/05/2009,01/05/2009,9,We Made You,Eminem
02/05/2009,01/05/2009,10,You Found Me,The Fray
02/05/2009,01/05/2009,11,Gives You Hell,The All-American Rejects
02/05/2009,01/05/2009,12,Halo,Beyonce
02/05/2009,01/05/2009,13,My Life Would Suck Without You,Kelly Clarkson
02/05/2009,01/05/2009,14,Just Dance,Lady Gaga Featuring Colby O'Donis
02/05/2009,01/05/2009,15,Sugar,Flo Rida Featuring Wynter
06/06/2009,01/06/2009,1,Boom Boom Pow,The Black Eyed Peas
06/06/2009,01/06/2009,2,Poker Face,Lady Gaga
06/06/2009,01/06/2009,3,Blame It,Jamie Foxx Featuring T-Pain
06/06/2009,01/06/2009,4,Don't Stop Believin',Glee Cast
06/06/2009,01/06/2009,5,I Know You Want Me (Calle Ocho),Pitbull
06/06/2009,01/06/2009,6,New Divide,Linkin Park
06/06/2009,01/06/2009,7,Day 'N' Nite,Kid Cudi
06/06/2009,01/06/2009,8,Halo,Beyonce
06/06/2009,01/06/2009,9,Birthday Sex,Jeremih
06/06/2009,01/06/2009,10,Waking Up In Vegas,Katy Perry
06/06/2009,01/06/2009,11,No Boundaries,Kris Allen
06/06/2009,01/06/2009,12,Fire Burning,Sean Kingston
06/06/2009,01/06/2009,13,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
06/06/2009,01/06/2009,14,Don't Trust Me,3OH!3
06/06/2009,01/06/2009,15,The Climb,Miley Cyrus
04/07/2009,01/07/2009,1,Boom Boom Pow,The Black Eyed Peas
04/07/2009,01/07/2009,2,I Gotta Feeling,The Black Eyed Peas
04/07/2009,01/07/2009,3,Best I Ever Had,Drake
04/07/2009,01/07/2009,4,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
04/07/2009,01/07/2009,5,I Know You Want Me (Calle Ocho),Pitbull
04/07/2009,01/07/2009,6,LoveGame,Lady Gaga
04/07/2009,01/07/2009,7,Fire Burning,Sean Kingston
04/07/2009,01/07/2009,8,Birthday Sex,Jeremih
04/07/2009,01/07/2009,9,Second Chance,Shinedown
04/07/2009,01/07/2009,10,Every Girl,Young Money
04/07/2009,01/07/2009,11,Waking Up In Vegas,Katy Perry
04/07/2009,01/07/2009,12,Poker Face,Lady Gaga
04/07/2009,01/07/2009,13,Halo,Beyonce
04/07/2009,01/07/2009,14,Don't Trust Me,3OH!3
04/07/2009,01/07/2009,15,The Climb,Miley Cyrus
01/08/2009,01/08/2009,1,I Gotta Feeling,The Black Eyed Peas
01/08/2009,01/08/2009,2,Best I Ever Had,Drake
01/08/2009,01/08/2009,3,You Belong With Me,Taylor Swift
01/08/2009,01/08/2009,4,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
01/08/2009,01/08/2009,5,Fire Burning,Sean Kingston
01/08/2009,01/08/2009,6,Boom Boom Pow,The Black Eyed Peas
01/08/2009,01/08/2009,7,LoveGame,Lady Gaga
01/08/2009,01/08/2009,8,I Know You Want Me (Calle Ocho),Pitbull
01/08/2009,01/08/2009,9,Birthday Sex,Jeremih
01/08/2009,01/08/2009,10,Waking Up In Vegas,Katy Perry
01/08/2009,01/08/2009,11,Use Somebody,Kings Of Leon
01/08/2009,01/08/2009,12,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester
01/08/2009,01/08/2009,13,Every Girl,Young Money
01/08/2009,01/08/2009,14,Don't Trust Me,3OH!3
01/08/2009,01/08/2009,15,New Divide,Linkin Park
05/09/2009,01/09/2009,1,I Gotta Feeling,The Black Eyed Peas
05/09/2009,01/09/2009,2,Party In The U.S.A.,Miley Cyrus
05/09/2009,01/09/2009,3,Down,Jay Sean Featuring Lil Wayne
05/09/2009,01/09/2009,4,You Belong With Me,Taylor Swift
05/09/2009,01/09/2009,5,Run This Town,"Jay-Z, Rihanna & Kanye West"
05/09/2009,01/09/2009,6,Use Somebody,Kings Of Leon
05/09/2009,01/09/2009,7,Best I Ever Had,Drake
05/09/2009,01/09/2009,8,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
05/09/2009,01/09/2009,9,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester
05/09/2009,01/09/2009,10,Hotel Room Service,Pitbull
05/09/2009,01/09/2009,11,Obsessed,Mariah Carey
05/09/2009,01/09/2009,12,She Wolf,Shakira
05/09/2009,01/09/2009,13,Boom Boom Pow,The Black Eyed Peas
05/09/2009,01/09/2009,14,Waking Up In Vegas,Katy Perry
05/09/2009,01/09/2009,15,Fire Burning,Sean Kingston
03/10/2009,01/10/2009,1,I Gotta Feeling,The Black Eyed Peas
03/10/2009,01/10/2009,2,Run This Town,"Jay-Z, Rihanna & Kanye West"
03/10/2009,01/10/2009,3,Down,Jay Sean Featuring Lil Wayne
03/10/2009,01/10/2009,4,You Belong With Me,Taylor Swift
03/10/2009,01/10/2009,5,Empire State Of Mind,Jay-Z + Alicia Keys
03/10/2009,01/10/2009,6,Party In The U.S.A.,Miley Cyrus
03/10/2009,01/10/2009,7,Paparazzi,Lady Gaga
03/10/2009,01/10/2009,8,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
03/10/2009,01/10/2009,9,Use Somebody,Kings Of Leon
03/10/2009,01/10/2009,10,Whatcha Say,Jason Derulo
03/10/2009,01/10/2009,11,Obsessed,Mariah Carey
03/10/2009,01/10/2009,12,Hotel Room Service,Pitbull
03/10/2009,01/10/2009,13,She Wolf,Shakira
03/10/2009,01/10/2009,14,Best I Ever Had,Drake
03/10/2009,01/10/2009,15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
07/11/2009,01/11/2009,1,Fireflies,Owl City
07/11/2009,01/11/2009,2,Whatcha Say,Jason Derulo
07/11/2009,01/11/2009,3,Down,Jay Sean Featuring Lil Wayne
07/11/2009,01/11/2009,4,Party In The U.S.A.,Miley Cyrus
07/11/2009,01/11/2009,5,Run This Town,"Jay-Z, Rihanna & Kanye West"
07/11/2009,01/11/2009,6,Paparazzi,Lady Gaga
07/11/2009,01/11/2009,7,Meet Me Halfway,The Black Eyed Peas
07/11/2009,01/11/2009,8,3,Britney Spears
07/11/2009,01/11/2009,9,I Gotta Feeling,The Black Eyed Peas
07/11/2009,01/11/2009,10,Sweet Dreams,Beyonce
07/11/2009,01/11/2009,11,You Belong With Me,Taylor Swift
07/11/2009,01/11/2009,12,Replay,Iyaz
07/11/2009,01/11/2009,13,Empire State Of Mind,Jay-Z + Alicia Keys
07/11/2009,01/11/2009,14,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
07/11/2009,01/11/2009,15,Use Somebody,Kings Of Leon
05/12/2009,01/12/2009,1,Empire State Of Mind,Jay-Z + Alicia Keys
05/12/2009,01/12/2009,2,Bad Romance,Lady Gaga
05/12/2009,01/12/2009,3,Fireflies,Owl City
05/12/2009,01/12/2009,4,Whatcha Say,Jason Derulo
05/12/2009,01/12/2009,5,TiK ToK,Ke$ha
05/12/2009,01/12/2009,6,Replay,Iyaz
05/12/2009,01/12/2009,7,Sexy Chick,David Guetta Featuring Akon
05/12/2009,01/12/2009,8,Paparazzi,Lady Gaga
05/12/2009,01/12/2009,9,3,Britney Spears
05/12/2009,01/12/2009,10,Down,Jay Sean Featuring Lil Wayne
05/12/2009,01/12/2009,11,Party In The U.S.A.,Miley Cyrus
05/12/2009,01/12/2009,12,Meet Me Halfway,The Black Eyed Peas
05/12/2009,01/12/2009,13,Sweet Dreams,Beyonce
05/12/2009,01/12/2009,14,Need You Now,Lady Antebellum
05/12/2009,01/12/2009,15,You Belong With Me,Taylor Swift
02/01/2010,01/01/2010,1,TiK ToK,Ke$ha
02/01/2010,01/01/2010,2,Empire State Of Mind,Jay-Z + Alicia Keys
02/01/2010,01/01/2010,3,Bad Romance,Lady Gaga
02/01/2010,01/01/2010,4,Replay,Iyaz
02/01/2010,01/01/2010,5,Fireflies,Owl City
02/01/2010,01/01/2010,6,Sexy Chick,David Guetta Featuring Akon
02/01/2010,01/01/2010,7,Whatcha Say,Jason Derulo
02/01/2010,01/01/2010,8,Down,Jay Sean Featuring Lil Wayne
02/01/2010,01/01/2010,9,Meet Me Halfway,The Black Eyed Peas
02/01/2010,01/01/2010,10,3,Britney Spears
02/01/2010,01/01/2010,11,Hard,Rihanna Featuring Jeezy
02/01/2010,01/01/2010,12,BedRock,Young Money Featuring Lloyd
02/01/2010,01/01/2010,13,How Low,Ludacris
02/01/2010,01/01/2010,14,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
02/01/2010,01/01/2010,15,Paparazzi,Lady Gaga
06/02/2010,01/02/2010,1,TiK ToK,Ke$ha
06/02/2010,01/02/2010,2,Today Was A Fairytale,Taylor Swift
06/02/2010,01/02/2010,3,Bad Romance,Lady Gaga
06/02/2010,01/02/2010,4,BedRock,Young Money Featuring Lloyd
06/02/2010,01/02/2010,5,Baby,Justin Bieber Featuring Ludacris
06/02/2010,01/02/2010,6,Replay,Iyaz
06/02/2010,01/02/2010,7,Sexy Chick,David Guetta Featuring Akon
06/02/2010,01/02/2010,8,Empire State Of Mind,Jay-Z + Alicia Keys
06/02/2010,01/02/2010,9,Hard,Rihanna Featuring Jeezy
06/02/2010,01/02/2010,10,"Hey, Soul Sister",Train
06/02/2010,01/02/2010,11,Imma Be,The Black Eyed Peas
06/02/2010,01/02/2010,12,How Low,Ludacris
06/02/2010,01/02/2010,13,Fireflies,Owl City
06/02/2010,01/02/2010,14,Carry Out,Timbaland Featuring Justin Timberlake
06/02/2010,01/02/2010,15,I Gotta Feeling,The Black Eyed Peas
06/03/2010,01/03/2010,1,Imma Be,The Black Eyed Peas
06/03/2010,01/03/2010,2,TiK ToK,Ke$ha
06/03/2010,01/03/2010,3,BedRock,Young Money Featuring Lloyd
06/03/2010,01/03/2010,4,Bad Romance,Lady Gaga
06/03/2010,01/03/2010,5,Need You Now,Lady Antebellum
06/03/2010,01/03/2010,6,We Are The World 25: For Haiti,Artists For Haiti
06/03/2010,01/03/2010,7,"Hey, Soul Sister",Train
06/03/2010,01/03/2010,8,How Low,Ludacris
06/03/2010,01/03/2010,9,In My Head,Jason Derulo
06/03/2010,01/03/2010,10,Say Aah,Trey Songz Featuring Fabolous
06/03/2010,01/03/2010,11,Blah Blah Blah,Ke$ha Featuring 3OH!3
06/03/2010,01/03/2010,12,Sexy Chick,David Guetta Featuring Akon
06/03/2010,01/03/2010,13,Baby,Justin Bieber Featuring Ludacris
06/03/2010,01/03/2010,14,Telephone,Lady Gaga Featuring Beyonce
06/03/2010,01/03/2010,15,Carry Out,Timbaland Featuring Justin Timberlake
03/04/2010,01/04/2010,1,Rude Boy,Rihanna
03/04/2010,01/04/2010,2,Nothin' On You,B.o.B Featuring Bruno Mars
03/04/2010,01/04/2010,3,Telephone,Lady Gaga Featuring Beyonce
03/04/2010,01/04/2010,4,Need You Now,Lady Antebellum
03/04/2010,01/04/2010,5,Break Your Heart,Taio Cruz Featuring Ludacris
03/04/2010,01/04/2010,6,Imma Be,The Black Eyed Peas
03/04/2010,01/04/2010,7,"Hey, Soul Sister",Train
03/04/2010,01/04/2010,8,BedRock,Young Money Featuring Lloyd
03/04/2010,01/04/2010,9,TiK ToK,Ke$ha
03/04/2010,01/04/2010,10,Baby,Justin Bieber Featuring Ludacris
03/04/2010,01/04/2010,11,Carry Out,Timbaland Featuring Justin Timberlake
03/04/2010,01/04/2010,12,In My Head,Jason Derulo
03/04/2010,01/04/2010,13,Say Aah,Trey Songz Featuring Fabolous
03/04/2010,01/04/2010,14,Bad Romance,Lady Gaga
03/04/2010,01/04/2010,15,Blah Blah Blah,Ke$ha Featuring 3OH!3
01/05/2010,01/05/2010,1,Nothin' On You,B.o.B Featuring Bruno Mars
01/05/2010,01/05/2010,2,Rude Boy,Rihanna
01/05/2010,01/05/2010,3,"Hey, Soul Sister",Train
01/05/2010,01/05/2010,4,Break Your Heart,Taio Cruz Featuring Ludacris
01/05/2010,01/05/2010,5,Need You Now,Lady Antebellum
01/05/2010,01/05/2010,6,In My Head,Jason Derulo
01/05/2010,01/05/2010,7,Telephone,Lady Gaga Featuring Beyonce
01/05/2010,01/05/2010,8,OMG,Usher Featuring will.i.am
01/05/2010,01/05/2010,9,Your Love Is My Drug,Ke$ha
01/05/2010,01/05/2010,10,Whataya Want From Me,Adam Lambert
01/05/2010,01/05/2010,11,Imma Be,The Black Eyed Peas
01/05/2010,01/05/2010,12,Airplanes,B.o.B Featuring Hayley Williams
01/05/2010,01/05/2010,13,My Chick Bad,Ludacris Featuring Nicki Minaj
01/05/2010,01/05/2010,14,Breakeven,The Script
01/05/2010,01/05/2010,15,Say Aah,Trey Songz Featuring Fabolous
05/06/2010,01/06/2010,1,OMG,Usher Featuring will.i.am
05/06/2010,01/06/2010,2,Airplanes,B.o.B Featuring Hayley Williams
05/06/2010,01/06/2010,3,California Gurls,Katy Perry Featuring Snoop Dogg
05/06/2010,01/06/2010,4,Break Your Heart,Taio Cruz Featuring Ludacris
05/06/2010,01/06/2010,5,Nothin' On You,B.o.B Featuring Bruno Mars
05/06/2010,01/06/2010,6,Alejandro,Lady Gaga
05/06/2010,01/06/2010,7,Your Love Is My Drug,Ke$ha
05/06/2010,01/06/2010,8,Can't Be Tamed,Miley Cyrus
05/06/2010,01/06/2010,9,Not Afraid,Eminem
05/06/2010,01/06/2010,10,Rude Boy,Rihanna
05/06/2010,01/06/2010,11,"Hey, Soul Sister",Train
05/06/2010,01/06/2010,12,Young Forever,Jay-Z + Mr. Hudson
05/06/2010,01/06/2010,13,Need You Now,Lady Antebellum
05/06/2010,01/06/2010,14,Bulletproof,La Roux
05/06/2010,01/06/2010,15,In My Head,Jason Derulo
03/07/2010,01/07/2010,1,California Gurls,Katy Perry Featuring Snoop Dogg
03/07/2010,01/07/2010,2,OMG,Usher Featuring will.i.am
03/07/2010,01/07/2010,3,Airplanes,B.o.B Featuring Hayley Williams
03/07/2010,01/07/2010,4,Billionaire,Travie McCoy Featuring Bruno Mars
03/07/2010,01/07/2010,5,Find Your Love,Drake
03/07/2010,01/07/2010,6,Your Love Is My Drug,Ke$ha
03/07/2010,01/07/2010,7,Alejandro,Lady Gaga
03/07/2010,01/07/2010,8,Cooler Than Me,Mike Posner
03/07/2010,01/07/2010,9,Not Afraid,Eminem
03/07/2010,01/07/2010,10,Break Your Heart,Taio Cruz Featuring Ludacris
03/07/2010,01/07/2010,11,Rock That Body,The Black Eyed Peas
03/07/2010,01/07/2010,12,Bulletproof,La Roux
03/07/2010,01/07/2010,13,Nothin' On You,B.o.B Featuring Bruno Mars
03/07/2010,01/07/2010,14,"Hey, Soul Sister",Train
03/07/2010,01/07/2010,15,My First Kiss,3OH!3 Featuring Ke$ha
07/08/2010,01/08/2010,1,Love The Way You Lie,Eminem Featuring Rihanna
07/08/2010,01/08/2010,2,California Gurls,Katy Perry Featuring Snoop Dogg
07/08/2010,01/08/2010,3,Dynamite,Taio Cruz
07/08/2010,01/08/2010,4,Airplanes,B.o.B Featuring Hayley Williams
07/08/2010,01/08/2010,5,Billionaire,Travie McCoy Featuring Bruno Mars
07/08/2010,01/08/2010,6,I Like It,Enrique Iglesias Featuring Pitbull
07/08/2010,01/08/2010,7,Cooler Than Me,Mike Posner
07/08/2010,01/08/2010,8,OMG,Usher Featuring will.i.am
07/08/2010,01/08/2010,9,Find Your Love,Drake
07/08/2010,01/08/2010,10,Ridin' Solo,Jason Derulo
07/08/2010,01/08/2010,11,Not Afraid,Eminem
07/08/2010,01/08/2010,12,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
07/08/2010,01/08/2010,13,Impossible,Shontelle
07/08/2010,01/08/2010,14,Your Love,Nicki Minaj
07/08/2010,01/08/2010,15,Bulletproof,La Roux
04/09/2010,01/09/2010,1,Love The Way You Lie,Eminem Featuring Rihanna
04/09/2010,01/09/2010,2,Dynamite,Taio Cruz
04/09/2010,01/09/2010,3,Teenage Dream,Katy Perry
04/09/2010,01/09/2010,4,I Like It,Enrique Iglesias Featuring Pitbull
04/09/2010,01/09/2010,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
04/09/2010,01/09/2010,6,Right Above It,Lil Wayne Featuring Drake
04/09/2010,01/09/2010,7,Cooler Than Me,Mike Posner
04/09/2010,01/09/2010,8,California Gurls,Katy Perry Featuring Snoop Dogg
04/09/2010,01/09/2010,9,Just The Way You Are,Bruno Mars
04/09/2010,01/09/2010,10,Magic,B.o.B Featuring Rivers Cuomo
04/09/2010,01/09/2010,11,Airplanes,B.o.B Featuring Hayley Williams
04/09/2010,01/09/2010,12,Just A Dream,Nelly
04/09/2010,01/09/2010,13,Ridin' Solo,Jason Derulo
04/09/2010,01/09/2010,14,Mine,Taylor Swift
04/09/2010,01/09/2010,15,Not Afraid,Eminem
02/10/2010,01/10/2010,1,Just The Way You Are,Bruno Mars
02/10/2010,01/10/2010,2,Love The Way You Lie,Eminem Featuring Rihanna
02/10/2010,01/10/2010,3,Only Girl (In The World),Rihanna
02/10/2010,01/10/2010,4,Teenage Dream,Katy Perry
02/10/2010,01/10/2010,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
02/10/2010,01/10/2010,6,Dynamite,Taio Cruz
02/10/2010,01/10/2010,7,I Like It,Enrique Iglesias Featuring Pitbull
02/10/2010,01/10/2010,8,Just A Dream,Nelly
02/10/2010,01/10/2010,9,Club Can't Handle Me,Flo Rida Featuring David Guetta
02/10/2010,01/10/2010,10,Like A G6,Far*East Movement Featuring Cataracs & Dev
02/10/2010,01/10/2010,11,Take It Off,Ke$ha
02/10/2010,01/10/2010,12,Mine,Taylor Swift
02/10/2010,01/10/2010,13,Bottoms Up,Trey Songz Featuring Nicki Minaj
02/10/2010,01/10/2010,14,Not Afraid,Eminem
02/10/2010,01/10/2010,15,Cooler Than Me,Mike Posner
06/11/2010,01/11/2010,1,Like A G6,Far*East Movement Featuring Cataracs & Dev
06/11/2010,01/11/2010,2,Just The Way You Are,Bruno Mars
06/11/2010,01/11/2010,3,Only Girl (In The World),Rihanna
06/11/2010,01/11/2010,4,Just A Dream,Nelly
06/11/2010,01/11/2010,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
06/11/2010,01/11/2010,6,Bottoms Up,Trey Songz Featuring Nicki Minaj
06/11/2010,01/11/2010,7,Teenage Dream,Katy Perry
06/11/2010,01/11/2010,8,Dynamite,Taio Cruz
06/11/2010,01/11/2010,9,Club Can't Handle Me,Flo Rida Featuring David Guetta
06/11/2010,01/11/2010,10,Raise Your Glass,P!nk
06/11/2010,01/11/2010,11,Mean,Taylor Swift
06/11/2010,01/11/2010,12,Love The Way You Lie,Eminem Featuring Rihanna
06/11/2010,01/11/2010,13,Mine,Taylor Swift
06/11/2010,01/11/2010,14,I Like It,Enrique Iglesias Featuring Pitbull
06/11/2010,01/11/2010,15,Animal,Neon Trees
04/12/2010,01/12/2010,1,Only Girl (In The World),Rihanna
04/12/2010,01/12/2010,2,Raise Your Glass,P!nk
04/12/2010,01/12/2010,3,Like A G6,Far*East Movement Featuring Cataracs & Dev
04/12/2010,01/12/2010,4,We R Who We R,Ke$ha
04/12/2010,01/12/2010,5,Just A Dream,Nelly
04/12/2010,01/12/2010,6,Firework,Katy Perry
04/12/2010,01/12/2010,7,Just The Way You Are,Bruno Mars
04/12/2010,01/12/2010,8,What's My Name?,Rihanna Featuring Drake
04/12/2010,01/12/2010,9,F**k You! (Forget You),CeeLo Green
04/12/2010,01/12/2010,10,Bottoms Up,Trey Songz Featuring Nicki Minaj
04/12/2010,01/12/2010,11,Forget You,Glee Cast Featuring Gwyneth Paltrow
04/12/2010,01/12/2010,12,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
04/12/2010,01/12/2010,13,The Time (Dirty Bit),The Black Eyed Peas
04/12/2010,01/12/2010,14,Dynamite,Taio Cruz
04/12/2010,01/12/2010,15,Teenage Dream,Katy Perry
01/01/2011,01/01/2011,1,Firework,Katy Perry
01/01/2011,01/01/2011,2,Grenade,Bruno Mars
01/01/2011,01/01/2011,3,What's My Name?,Rihanna Featuring Drake
01/01/2011,01/01/2011,4,Raise Your Glass,P!nk
01/01/2011,01/01/2011,5,We R Who We R,Ke$ha
01/01/2011,01/01/2011,6,Just The Way You Are,Bruno Mars
01/01/2011,01/01/2011,7,Only Girl (In The World),Rihanna
01/01/2011,01/01/2011,8,The Time (Dirty Bit),The Black Eyed Peas
01/01/2011,01/01/2011,9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
01/01/2011,01/01/2011,10,Just A Dream,Nelly
01/01/2011,01/01/2011,11,Bottoms Up,Trey Songz Featuring Nicki Minaj
01/01/2011,01/01/2011,12,Black And Yellow,Wiz Khalifa
01/01/2011,01/01/2011,13,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
01/01/2011,01/01/2011,14,Like A G6,Far*East Movement Featuring Cataracs & Dev
01/01/2011,01/01/2011,15,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
05/02/2011,01/02/2011,1,Grenade,Bruno Mars
05/02/2011,01/02/2011,2,Firework,Katy Perry
05/02/2011,01/02/2011,3,Black And Yellow,Wiz Khalifa
05/02/2011,01/02/2011,4,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
05/02/2011,01/02/2011,5,What's My Name?,Rihanna Featuring Drake
05/02/2011,01/02/2011,6,Hold It Against Me,Britney Spears
05/02/2011,01/02/2011,7,We R Who We R,Ke$ha
05/02/2011,01/02/2011,8,Raise Your Glass,P!nk
05/02/2011,01/02/2011,9,The Time (Dirty Bit),The Black Eyed Peas
05/02/2011,01/02/2011,10,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
05/02/2011,01/02/2011,11,F**kin' Perfect,P!nk
05/02/2011,01/02/2011,12,Just The Way You Are,Bruno Mars
05/02/2011,01/02/2011,13,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
05/02/2011,01/02/2011,14,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
05/02/2011,01/02/2011,15,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
05/03/2011,01/03/2011,1,Born This Way,Lady Gaga
05/03/2011,01/03/2011,2,F**k You! (Forget You),CeeLo Green
05/03/2011,01/03/2011,3,Grenade,Bruno Mars
05/03/2011,01/03/2011,4,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
05/03/2011,01/03/2011,5,Firework,Katy Perry
05/03/2011,01/03/2011,6,F**kin' Perfect,P!nk
05/03/2011,01/03/2011,7,S&M,Rihanna Featuring Britney Spears
05/03/2011,01/03/2011,8,Never Say Never,Justin Bieber Featuring Jaden Smith
05/03/2011,01/03/2011,9,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
05/03/2011,01/03/2011,10,Black And Yellow,Wiz Khalifa
05/03/2011,01/03/2011,11,Hold It Against Me,Britney Spears
05/03/2011,01/03/2011,12,What's My Name?,Rihanna Featuring Drake
05/03/2011,01/03/2011,13,What The Hell,Avril Lavigne
05/03/2011,01/03/2011,14,Just The Way You Are,Bruno Mars
05/03/2011,01/03/2011,15,More,Usher
02/04/2011,01/04/2011,1,Born This Way,Lady Gaga
02/04/2011,01/04/2011,2,E.T.,Katy Perry Featuring Kanye West
02/04/2011,01/04/2011,3,S&M,Rihanna Featuring Britney Spears
02/04/2011,01/04/2011,4,F**k You! (Forget You),CeeLo Green
02/04/2011,01/04/2011,5,Just Can't Get Enough,The Black Eyed Peas
02/04/2011,01/04/2011,6,Loser Like Me,Glee Cast
02/04/2011,01/04/2011,7,F**kin' Perfect,P!nk
02/04/2011,01/04/2011,8,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
02/04/2011,01/04/2011,9,Grenade,Bruno Mars
02/04/2011,01/04/2011,10,Down On Me,Jeremih Featuring 50 Cent
02/04/2011,01/04/2011,11,Blow,Ke$ha
02/04/2011,01/04/2011,12,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
02/04/2011,01/04/2011,13,On The Floor,Jennifer Lopez Featuring Pitbull
02/04/2011,01/04/2011,14,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
02/04/2011,01/04/2011,15,Firework,Katy Perry
07/05/2011,01/05/2011,1,E.T.,Katy Perry Featuring Kanye West
07/05/2011,01/05/2011,2,Rolling In The Deep,Adele
07/05/2011,01/05/2011,3,Just Can't Get Enough,The Black Eyed Peas
07/05/2011,01/05/2011,4,S&M,Rihanna Featuring Britney Spears
07/05/2011,01/05/2011,5,Down On Me,Jeremih Featuring 50 Cent
07/05/2011,01/05/2011,6,The Lazy Song,Bruno Mars
07/05/2011,01/05/2011,7,On The Floor,Jennifer Lopez Featuring Pitbull
07/05/2011,01/05/2011,8,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
07/05/2011,01/05/2011,9,Blow,Ke$ha
07/05/2011,01/05/2011,10,F**k You! (Forget You),CeeLo Green
07/05/2011,01/05/2011,11,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha
07/05/2011,01/05/2011,12,Judas,Lady Gaga
07/05/2011,01/05/2011,13,Written In The Stars,Tinie Tempah Featuring Eric Turner
07/05/2011,01/05/2011,14,The Show Goes On,Lupe Fiasco
07/05/2011,01/05/2011,15,Born This Way,Lady Gaga
04/06/2011,01/06/2011,1,Rolling In The Deep,Adele
04/06/2011,01/06/2011,2,E.T.,Katy Perry Featuring Kanye West
04/06/2011,01/06/2011,3,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
04/06/2011,01/06/2011,4,Just Can't Get Enough,The Black Eyed Peas
04/06/2011,01/06/2011,5,On The Floor,Jennifer Lopez Featuring Pitbull
04/06/2011,01/06/2011,6,The Lazy Song,Bruno Mars
04/06/2011,01/06/2011,7,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha
04/06/2011,01/06/2011,8,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
04/06/2011,01/06/2011,9,The Show Goes On,Lupe Fiasco
04/06/2011,01/06/2011,10,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
04/06/2011,01/06/2011,11,Down On Me,Jeremih Featuring 50 Cent
04/06/2011,01/06/2011,12,Hair,Lady Gaga
04/06/2011,01/06/2011,13,Roll Up,Wiz Khalifa
04/06/2011,01/06/2011,14,S&M,Rihanna Featuring Britney Spears
04/06/2011,01/06/2011,15,Super Bass,Nicki Minaj
02/07/2011,01/07/2011,1,Rolling In The Deep,Adele
02/07/2011,01/07/2011,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
02/07/2011,01/07/2011,3,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
02/07/2011,01/07/2011,4,Last Friday Night (T.G.I.F.),Katy Perry
02/07/2011,01/07/2011,5,E.T.,Katy Perry Featuring Kanye West
02/07/2011,01/07/2011,6,The Edge Of Glory,Lady Gaga
02/07/2011,01/07/2011,7,Dirt Road Anthem,Jason Aldean
02/07/2011,01/07/2011,8,Super Bass,Nicki Minaj
